Wappen,Name der Gemeinde,Einwohner (31. Dezember 2022),Fläche in km² [3],Einw. pro km²,Bezirke Bis 31. Dezember 2002,Wahlkreis Ab 1. Januar 2003
Altstätten,Altstätten,12'278,3946,311,Oberrheintal,Rheintal
Amden,Amden,1847,4305,43,Gaster,See-Gaster
Andwil,Andwil (SG),2115,631,335,Gossau,St. Gallen
Au,Au (SG),8252,465,1775,Unterrheintal,Rheintal
Bad Ragaz,Bad Ragaz,6663,2540,262,Sargans,Sarganserland
Balgach,Balgach,5067,652,777,Unterrheintal,Rheintal
Benken,Benken (SG),3018,1649,183,Gaster,See-Gaster
Berg,Berg (SG),988,376,263,Rorschach,Rorschach
Berneck,Berneck,3963,562,705,Unterrheintal,Rheintal
Buchs,Buchs (SG),13'605,1595,853,Werdenberg,Werdenberg
Bütschwil-Ganterschwil,Bütschwil-Ganterschwil,5163,2183,237,Alttoggenburg Untertoggenburg,Toggenburg
Degersheim,Degersheim,4081,1448,282,Untertoggenburg,Wil
Diepoldsau,Diepoldsau,6889,1125,612,Unterrheintal,Rheintal
Ebnat-Kappel,Ebnat-Kappel,4979,4355,114,Obertoggenburg,Toggenburg
Eggersriet,Eggersriet,2364,890,266,Rorschach,St. Gallen
Eichberg,Eichberg,1556,544,286,Oberrheintal,Rheintal
Eschenbach,Eschenbach (SG),9996,5489,182,See,See-Gaster
Flawil,Flawil,10'446,1147,911,Untertoggenburg,Wil
Flums,Flums,5211,7515,69,Sargans,Sarganserland
Gaiserwald,Gaiserwald,8523,1263,675,Gossau,St. Gallen
Gams,Gams,3606,2227,162,Werdenberg,Werdenberg
Goldach,Goldach,9562,471,2030,Rorschach,Rorschach
Gommiswald,Gommiswald,5564,3359,166,See,See-Gaster
Gossau,Gossau (SG),18'226,2751,663,Gossau,St. Gallen
Grabs,Grabs,7302,5465,134,Werdenberg,Werdenberg
Häggenschwil,Häggenschwil,1393,907,154,St. Gallen,St. Gallen
Hemberg,Hemberg,"data-sort-value=""Ungültiger Metadaten−Schlüssel 3372"" | Ungültiger Metadaten−Schlüssel 3372",Ungültiger Metadaten-Schlüssel 3.372,Fehler im Ausdruck: Unerwarteter Operator <,Neutoggenburg,Toggenburg
Jonschwil,Jonschwil,3961,1099,360,Untertoggenburg,Wil
Kaltbrunn,Kaltbrunn,5051,1864,271,Gaster,See-Gaster
Kirchberg,Kirchberg (SG),9632,4254,226,Alttoggenburg,Toggenburg
Lichtensteig,Lichtensteig,1980,282,702,Neutoggenburg,Toggenburg
Lütisburg,Lütisburg,1619,1410,115,Alttoggenburg,Toggenburg
Marbach,Marbach (SG),2137,438,488,Oberrheintal,Rheintal
Mels,Mels,9311,13910,67,Sargans,Sarganserland
Mörschwil,Mörschwil,3619,984,368,Rorschach,Rorschach
Mosnang,Mosnang,2920,5051,58,Alttoggenburg,Toggenburg
Muolen,Muolen,1253,1033,121,St. Gallen,St. Gallen
Neckertal,Neckertal,"data-sort-value=""Ungültiger Metadaten−Schlüssel 3378"" | Ungültiger Metadaten−Schlüssel 3378",Ungültiger Metadaten-Schlüssel 3.378,Fehler im Ausdruck: Unerwarteter Operator <,Neutoggenburg Untertoggenburg,Toggenburg
Nesslau,Nesslau,3733,9270,40,Obertoggenburg,Toggenburg
Niederbüren,Niederbüren,1527,1584,96,Wil,Wil
Niederhelfenschwil,Niederhelfenschwil,3201,1637,196,Wil,Wil
Oberbüren,Oberbüren,4588,1773,259,Wil,Wil
Oberhelfenschwil,Oberhelfenschwil,"data-sort-value=""Ungültiger Metadaten−Schlüssel 3375"" | Ungültiger Metadaten−Schlüssel 3375",Ungültiger Metadaten-Schlüssel 3.375,Fehler im Ausdruck: Unerwarteter Operator <,Neutoggenburg,Toggenburg
Oberriet,Oberriet (SG),9180,3460,265,Oberrheintal,Rheintal
Oberuzwil,Oberuzwil,6536,1408,464,Untertoggenburg,Wil
Pfäfers,Pfäfers,1563,12846,12,Sargans,Sarganserland
Quarten,Quarten,3000,6177,49,Sargans,Sarganserland
Rapperswil-Jona,Rapperswil-Jona,28'252,2226,1269,See,See-Gaster
Rebstein,Rebstein,4906,439,1118,Oberrheintal,Rheintal
Rheineck,Rheineck,3481,221,1575,Unterrheintal,Rheintal
Rorschach,Rorschach,9777,178,5493,Rorschach,Rorschach
Rorschacherberg,Rorschacherberg,7620,709,1075,Rorschach,Rorschach
Rüthi,Rüthi,2472,933,265,Oberrheintal,Rheintal
Sargans,Sargans,6443,946,681,Sargans,Sarganserland
Schänis,Schänis,4021,3990,101,Gaster,See-Gaster
Schmerikon,Schmerikon,4110,415,990,See,See-Gaster
Sennwald,Sennwald,6101,4156,147,Werdenberg,Werdenberg
Sevelen,Sevelen,5279,3033,174,Werdenberg,Werdenberg
St. Gallen,St. Gallen,76'931,3938,1954,St. Gallen,St. Gallen
St. Margrethen,St. Margrethen,6249,687,910,Unterrheintal,Rheintal
Steinach,Steinach,3583,450,796,Rorschach,Rorschach
Thal,Thal,6914,966,716,Unterrheintal,Rorschach
Tübach,Tübach,1587,199,797,Rorschach,Rorschach
Untereggen,Untereggen,1026,713,144,Rorschach,Rorschach
Uznach,Uznach,6850,754,908,See,See-Gaster
Uzwil,Uzwil,13'831,1449,955,Untertoggenburg,Wil
Vilters-Wangs,Vilters-Wangs,5015,3272,153,Sargans,Sarganserland
Waldkirch,Waldkirch,3528,3134,113,Gossau,St. Gallen
Walenstadt,Walenstadt,5763,4572,126,Sargans,Sarganserland
Wartau,Wartau,5395,4175,129,Werdenberg,Werdenberg
Wattwil,Wattwil,8954,5118,175,Neutoggenburg,Toggenburg
Weesen,Weesen,1845,540,342,Gaster,See-Gaster
Widnau,Widnau,10'178,422,2412,Unterrheintal,Rheintal
Wil,Wil (SG),24'541,2082,1179,Wil,Wil
Wildhaus-Alt St. Johann,Wildhaus-Alt St. Johann,2612,8753,30,Obertoggenburg,Toggenburg
Wittenbach,Wittenbach,9914,1220,813,St. Gallen,St. Gallen
Zuzwil,Zuzwil (SG),4997,897,557,Wil,Wil
Kanton St. Gallen,Kanton St. Gallen (77),525'967,202820,259,—,—
