bfs_nr,community_name,value
3251,Altstätten,1.1
3311,Amden,0.5
3441,Andwil (SG),0.8
3231,Au (SG),1.9
3291,Bad Ragaz,1.1
3232,Balgach,0.7
3312,Benken (SG),0.9
3211,Berg (SG),0
3233,Berneck,1.1
3271,Buchs (SG),1.1
3395,Bütschwil-Ganterschwil,2.2
3401,Degersheim,2.1
3234,Diepoldsau,0.8
3352,Ebnat-Kappel,2.1
3212,Eggersriet,0.7
3252,Eichberg,0.4
3342,Eschenbach (SG),1.1
3402,Flawil,3.5
3292,Flums,1.2
3442,Gaiserwald,1.5
3272,Gams,0.8
3213,Goldach,1.8
3341,Gommiswald,0.8
3443,Gossau (SG),1.3
3273,Grabs,1.1
3372,Hemberg,0.6
3201,Häggenschwil,0.2
3405,Jonschwil,0.7
3313,Kaltbrunn,2.4
3392,Kirchberg (SG),3.4
3374,Lichtensteig,1.2
3393,Lütisburg,0.4
3253,Marbach (SG),0.3
3293,Mels,1.5
3394,Mosnang,0.7
3202,Muolen,1
3214,Mörschwil,0.2
3378,Neckertal,2.0
3360,Nesslau,1.4
3422,Niederbüren,0.9
3423,Niederhelfenschwil,0.6
3424,Oberbüren,0.7
3375,Oberhelfenschwil,0.3
3254,Oberriet (SG),0.3
3407,Oberuzwil,1.4
3294,Pfäfers,1
3295,Quarten,0.3
3340,Rapperswil-Jona,1.7
3255,Rebstein,1.7
3235,Rheineck,2.2
3215,Rorschach,3
3216,Rorschacherberg,1.4
3256,Rüthi (SG),0.2
3296,Sargans,0.9
3338,Schmerikon,1.5
3315,Schänis,2.1
3274,Sennwald,0.9
3275,Sevelen,2.3
3203,St. Gallen,4.3
3236,St. Margrethen,1.8
3217,Steinach,1.6
3237,Thal,0.9
3218,Tübach,0.2
3219,Untereggen,0.6
3339,Uznach,1.7
3408,Uzwil,1.9
3297,Vilters-Wangs,0.4
3444,Waldkirch,1.2
3298,Walenstadt,0.7
3276,Wartau,1.6
3379,Wattwil,3
3316,Weesen,2
3238,Widnau,1.1
3427,Wil (SG),3.7
3359,Wildhaus-Alt St. Johann,0.4
3204,Wittenbach,3.5
3426,Zuzwil (SG),0.7
