community_name,number_of_inhabitants,area,inhabitants_per_km2,district,electoral_district
Altstätten,12278,3946,311,Oberrheintal,Rheintal
Amden,1847,4305,43,Gaster,See-Gaster
Andwil (SG),2115,631,335,Gossau,St. Gallen
Au (SG),8252,465,1775,Unterrheintal,Rheintal
Bad Ragaz,6663,2540,262,Sargans,Sarganserland
Balgach,5067,652,777,Unterrheintal,Rheintal
Benken (SG),3018,1649,183,Gaster,See-Gaster
Berg (SG),988,376,263,Rorschach,Rorschach
Berneck,3963,562,705,Unterrheintal,Rheintal
Buchs (SG),13605,1595,853,Werdenberg,Werdenberg
Bütschwil-Ganterschwil,5163,2183,237,Alttoggenburg Untertoggenburg,Toggenburg
Degersheim,4081,1448,282,Untertoggenburg,Wil
Diepoldsau,6889,1125,612,Unterrheintal,Rheintal
Ebnat-Kappel,4979,4355,114,Obertoggenburg,Toggenburg
Eggersriet,2364,890,266,Rorschach,St. Gallen
Eichberg,1556,544,286,Oberrheintal,Rheintal
Eschenbach (SG),9996,5489,182,See,See-Gaster
Flawil,10446,1147,911,Untertoggenburg,Wil
Flums,5211,7515,69,Sargans,Sarganserland
Gaiserwald,8523,1263,675,Gossau,St. Gallen
Gams,3606,2227,162,Werdenberg,Werdenberg
Goldach,9562,471,2030,Rorschach,Rorschach
Gommiswald,5564,3359,166,See,See-Gaster
Gossau (SG),18226,2751,663,Gossau,St. Gallen
Grabs,7302,5465,134,Werdenberg,Werdenberg
Hemberg,954,20.15,47,Neutoggenburg,Toggenburg
Häggenschwil,1393,907,154,St. Gallen,St. Gallen
Jonschwil,3961,1099,360,Untertoggenburg,Wil
Kaltbrunn,5051,1864,271,Gaster,See-Gaster
Kirchberg (SG),9632,4254,226,Alttoggenburg,Toggenburg
Lichtensteig,1980,282,702,Neutoggenburg,Toggenburg
Lütisburg,1619,1410,115,Alttoggenburg,Toggenburg
Marbach (SG),2137,438,488,Oberrheintal,Rheintal
Mels,9311,13910,67,Sargans,Sarganserland
Mosnang,2920,5051,58,Alttoggenburg,Toggenburg
Muolen,1253,1033,121,St. Gallen,St. Gallen
Mörschwil,3619,984,368,Rorschach,Rorschach
Neckertal,6324,81.84,77,Neutoggenburg Untertoggenburg,Toggenburg
Nesslau,3733,9270,40,Obertoggenburg,Toggenburg
Niederbüren,1527,1584,96,Wil,Wil
Niederhelfenschwil,3201,1637,196,Wil,Wil
Oberbüren,4588,1773,259,Wil,Wil
Oberhelfenschwil,1246,12.68,98,Neutoggenburg,Toggenburg
Oberriet (SG),9180,3460,265,Oberrheintal,Rheintal
Oberuzwil,6536,1408,464,Untertoggenburg,Wil
Pfäfers,1563,12846,12,Sargans,Sarganserland
Quarten,3000,6177,49,Sargans,Sarganserland
Rapperswil-Jona,28252,2226,1269,See,See-Gaster
Rebstein,4906,439,1118,Oberrheintal,Rheintal
Rheineck,3481,221,1575,Unterrheintal,Rheintal
Rorschach,9777,178,5493,Rorschach,Rorschach
Rorschacherberg,7620,709,1075,Rorschach,Rorschach
Rüthi (SG),2472,933,265,Oberrheintal,Rheintal
Sargans,6443,946,681,Sargans,Sarganserland
Schmerikon,4110,415,990,See,See-Gaster
Schänis,4021,3990,101,Gaster,See-Gaster
Sennwald,6101,4156,147,Werdenberg,Werdenberg
Sevelen,5279,3033,174,Werdenberg,Werdenberg
St. Gallen,76931,3938,1954,St. Gallen,St. Gallen
St. Margrethen,6249,687,910,Unterrheintal,Rheintal
Steinach,3583,450,796,Rorschach,Rorschach
Thal,6914,966,716,Unterrheintal,Rorschach
Tübach,1587,199,797,Rorschach,Rorschach
Untereggen,1026,713,144,Rorschach,Rorschach
Uznach,6850,754,908,See,See-Gaster
Uzwil,13831,1449,955,Untertoggenburg,Wil
Vilters-Wangs,5015,3272,153,Sargans,Sarganserland
Waldkirch,3528,3134,113,Gossau,St. Gallen
Walenstadt,5763,4572,126,Sargans,Sarganserland
Wartau,5395,4175,129,Werdenberg,Werdenberg
Wattwil,8954,5118,175,Neutoggenburg,Toggenburg
Weesen,1845,540,342,Gaster,See-Gaster
Widnau,10178,422,2412,Unterrheintal,Rheintal
Wil (SG),24541,2082,1179,Wil,Wil
Wildhaus-Alt St. Johann,2612,8753,30,Obertoggenburg,Toggenburg
Wittenbach,9914,1220,813,St. Gallen,St. Gallen
Zuzwil (SG),4997,897,557,Wil,Wil
