bfs_nr_fiscal_power,community_name,value_fiscal_power,normalized_value_fiscal_power,bfs_nr_social_assistance,value_social_assistance,normalized_value_social_assistance,bfs_nr,number_of_foreigners,foreigners_percentage,normalized_number_of_foreigners,normalized_foreigners_percentage,number_of_inhabitants,area,inhabitants_per_km2,district,electoral_district,normalized_number_of_inhabitants,normalized_area,normalized_inhabitants_per_km2,rating,normalized_rating
3203,St. Gallen,2395,9.0,3203,4.3,25.0,3203,24958,32.442058468,100,59,76931,3938.0,1954,St. Gallen,St. Gallen,100,7.0,8.75,49.75,100
3215,Rorschach,1710,2.4,3215,3.0,17.5,3215,4945,50.5778868774,20,99,9777,178.0,5493,Rorschach,Rorschach,12,0.25,25.0,45.15,90
3340,Rapperswil-Jona,3688,21.9,3340,1.7,10.0,3340,5441,19.2588135353,22,30,28252,2226.0,1269,See,See-Gaster,36,4.0,5.75,41.65,82
3427,Wil (SG),2455,9.6,3427,3.7,21.5,3427,7524,30.6588973554,30,55,24541,2082.0,1179,Wil,Wil,31,3.75,5.25,40.1,78
3293,Mels,1917,4.5,3293,1.5,8.75,3293,1784,19.1601331758,7,29,9311,13910.0,67,Sargans,Sarganserland,11,25.0,0.25,38.5,75
3214,Mörschwil,4518,30.0,3214,0.2,1.25,3214,309,8.5382702404,1,6,3619,984.0,368,Rorschach,Rorschach,4,1.75,1.5,34.5,66
3392,Kirchberg (SG),1944,4.5,3392,3.4,19.75,3392,2855,29.6407807309,11,52,9632,4254.0,226,Alttoggenburg,Toggenburg,11,7.75,1.0,33.0,63
3294,Pfäfers,1752,2.6999999999999997,3294,1.0,5.75,3294,216,13.8195777351,1,18,1563,12846.0,12,Sargans,Sarganserland,1,23.0,0.0,31.45,59
3204,Wittenbach,1937,4.5,3204,3.5,20.25,3204,2761,27.8495057494,11,49,9914,1220.0,813,St. Gallen,St. Gallen,12,2.25,3.75,30.75,58
3379,Wattwil,1729,2.4,3379,3.0,17.5,3379,2241,25.0279204825,9,42,8954,5118.0,175,Neutoggenburg,Toggenburg,11,9.25,0.75,29.9,56
3231,Au (SG),2510,10.2,3231,1.9,11.0,3231,3046,36.9122636937,12,68,8252,465.0,1775,Unterrheintal,Rheintal,10,0.75,8.0,29.95,56
3402,Flawil,1826,3.5999999999999996,3402,3.5,20.25,3402,3101,29.6860042121,12,53,10446,1147.0,911,Untertoggenburg,Wil,12,2.0,4.0,29.85,56
3232,Balgach,3644,21.3,3232,0.7,4.0,3232,1220,24.0773633314,5,40,5067,652.0,777,Unterrheintal,Rheintal,5,1.25,3.5,30.05,56
3213,Goldach,2431,9.299999999999999,3213,1.8,10.5,3213,2481,25.9464547166,10,44,9562,471.0,2030,Rorschach,Rorschach,11,0.75,9.25,29.799999999999997,55
3238,Widnau,2472,9.9,3238,1.1,6.5,3238,2906,28.5517783455,11,50,10178,422.0,2412,Unterrheintal,Rheintal,12,0.75,11.0,28.15,52
3360,Nesslau,1737,2.6999999999999997,3360,1.4,8.25,3360,275,7.3667291722,1,3,3733,9270.0,40,Obertoggenburg,Toggenburg,4,16.75,0.25,27.95,51
